member,chamber,ticker,type,transaction_date,filing_date,amount,party,signed,q
Justin Amash,House,AAPL,P,2019-01-02,2019-01-29,8000.5,L,8000.5,2019Q1
Justin Amash,House,DIS,P,2019-01-02,2019-01-29,8000.5,L,8000.5,2019Q1
Donald Sternoff Beyer,House,ACN,P,2019-11-19,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,ACN,P,2019-11-22,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,ACN,P,2019-12-10,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,AMZN,P,2019-11-19,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,AAPL,P,2019-12-09,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,AAPL,P,2019-11-22,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,AAPL,P,2019-11-18,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,BRK.B,P,2019-11-18,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,BRK.B,P,2019-11-22,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,C,S,2019-11-26,2019-12-14,,D,,2019Q4
Donald Sternoff Beyer,House,C,P,2019-12-09,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,C,P,2019-11-18,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,CME,P,2019-11-22,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,CME,P,2019-11-26,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,CME,P,2019-12-10,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,CYRX,P,2019-11-18,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,CYRX,P,2019-11-19,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,DAIUF,P,2019-11-19,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,DAIUF,P,2019-11-27,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,DAIUF,P,2019-12-10,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,DAL,P,2019-11-26,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,ECL,P,2019-11-19,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,ECL,P,2019-11-25,2019-12-14,8000.5,D,8000.5,2019Q4
Donald Sternoff Beyer,House,EDIT,P,2019-12-09,2019-12-14,8000.5,D,8000.5,2019Q4
