party,member,chamber,ticker,type,transaction_date,filing_date
R,Richard W. Allen,House,ALB,S,2023-12-21,2024-01-11
R,Richard W. Allen,House,SCHW,S,2023-12-21,2024-01-11
R,Richard W. Allen,House,BLK,S,2024-01-17,2024-02-16
R,Richard W. Allen,House,AMP,P,2024-04-09,2024-05-14
R,Richard W. Allen,House,CTAS,P,2024-05-20,2024-06-21
R,Richard W. Allen,House,SBUX,S,2024-05-20,2024-06-21
R,Richard W. Allen,House,JNJ,S,2024-06-13,2024-07-10
R,Richard W. Allen,House,AZO,P,2024-07-16,2024-08-08
R,Richard W. Allen,House,JNJ,S,2024-07-16,2024-08-08
R,Richard W. Allen,House,DE,S,2024-08-14,2024-09-20
R,Richard W. Allen,House,SCHW,S,2024-09-12,2024-10-18
D,Jake Auchincloss,House,STT,S,2024-11-18,2024-11-21
D,Earl Blumenauer,House,DEO,S,2023-12-13,2024-01-04
D,Earl Blumenauer,House,AMZN,P,2024-02-12,2024-03-02
D,Earl Blumenauer,House,PHG,P,2024-02-12,2024-03-02
D,Earl Blumenauer,House,QCOM,P,2024-02-12,2024-03-02
D,Earl Blumenauer,House,UL,S,2024-02-12,2024-03-02
D,Earl Blumenauer,House,NWN,P,2024-02-15,2024-03-12
D,Earl Blumenauer,House,MGA,S,2024-04-04,2024-05-04
D,Earl Blumenauer,House,DGX,P,2024-04-04,2024-05-04
D,Earl Blumenauer,House,RTX,P,2024-04-04,2024-05-04
D,Earl Blumenauer,House,TEL,P,2024-04-04,2024-05-04
D,Earl Blumenauer,House,NWN,P,2024-05-15,2024-06-06
D,Earl Blumenauer,House,CVS,S,2024-06-27,2024-07-06
D,Earl Blumenauer,House,BAX,P,2024-07-09,2024-08-06
D,Earl Blumenauer,House,MDT,S,2024-07-09,2024-08-06
D,Earl Blumenauer,House,WBD,P,2024-07-26,2024-08-06
D,Earl Blumenauer,House,NWN,P,2024-08-15,2024-09-06
D,Earl Blumenauer,House,VTR,P,2024-09-27,2024-10-08
D,Earl Blumenauer,House,NWN,S,2024-11-21,2024-12-07
R,Michael C. Burgess,House,UPS,S,2023-12-14,2024-01-08
R,Michael C. Burgess,House,UPS,P,2023-12-14,2024-01-08
R,Michael C. Burgess,House,UPS,S,2023-12-15,2024-01-08
R,Michael C. Burgess,House,AMD,S,2024-01-02,2024-01-22
R,Michael C. Burgess,House,BX,S,2024-01-02,2024-01-22
R,Michael C. Burgess,House,XOM,S,2024-01-02,2024-01-22
R,Michael C. Burgess,House,ILMN,P,2024-01-02,2024-01-22
R,Michael C. Burgess,House,PANW,P,2024-01-02,2024-01-22
R,Michael C. Burgess,House,RY,P,2024-01-10,2024-01-22
R,Michael C. Burgess,House,VLO,S,2024-01-10,2024-01-22
R,Michael C. Burgess,House,VLO,S,2024-01-12,2024-02-05
R,Michael C. Burgess,House,BBY,S,2024-02-23,2024-03-07
R,Michael C. Burgess,House,BBY,S,2024-02-26,2024-03-07
R,Michael C. Burgess,House,ILMN,P,2024-02-12,2024-03-07
R,Michael C. Burgess,House,PANW,S,2024-02-09,2024-03-07
R,Michael C. Burgess,House,XOM,S,2024-03-11,2024-04-10
R,Michael C. Burgess,House,RY,P,2024-07-16,2024-07-31
R,Michael C. Burgess,House,UPS,S,2024-07-22,2024-07-31
R,Michael C. Burgess,House,RY,S,2024-07-25,2024-08-12
R,Michael C. Burgess,House,ILMN,S,2024-09-03,2024-09-24
R,Michael C. Burgess,House,ILMN,S,2024-08-30,2024-10-01
D,Judy Chu,House,AMEH,P,2024-01-10,2024-01-21
D,Judy Chu,House,AMEH,S,2024-01-10,2024-01-21
D,Katherine M. Clark,House,NYCB,S,2024-03-01,2024-04-04
D,Steve Cohen,House,DTRUY,S,2023-12-11,2024-01-04
D,Suzan K. DelBene,House,MSFT,S,2024-02-29,2024-03-08
D,Suzan K. DelBene,House,MSFT,S,2024-08-31,2024-09-09
D,Lloyd Doggett,House,HD,P,2023-12-15,2024-01-08
D,Lloyd Doggett,House,IBM,P,2023-12-14,2024-01-08
D,Lloyd Doggett,House,PPG,P,2023-12-05,2024-01-08
D,Lloyd Doggett,House,IBM,P,2024-03-21,2024-04-09
D,Lloyd Doggett,House,JNJ,P,2024-03-05,2024-04-09
D,Lloyd Doggett,House,PPG,P,2024-03-12,2024-04-09
D,Lloyd Doggett,House,IBM,P,2024-06-13,2024-07-03
D,Lloyd Doggett,House,JNJ,P,2024-06-04,2024-07-03
D,Lloyd Doggett,House,PPG,P,2024-06-12,2024-07-03
D,Lloyd Doggett,House,IBM,P,2024-09-12,2024-10-10
D,Lloyd Doggett,House,JNJ,P,2024-09-10,2024-10-10
D,Lloyd Doggett,House,PPG,P,2024-09-12,2024-10-10
R,Byron Donalds,House,APPF,S,2024-10-01,2024-11-07
R,Byron Donalds,House,MCK,P,2024-10-01,2024-11-07
R,Byron Donalds,House,NU,P,2024-10-01,2024-11-07
R,Byron Donalds,House,SNPS,S,2024-10-01,2024-11-07
R,Jeff Duncan,House,CL,S,2023-08-25,2024-05-23
R,Jeff Duncan,House,JD,S,2023-08-25,2024-05-23
D,Dwight Evans,House,HASI,S,2023-12-20,2024-01-17
D,Dwight Evans,House,NOW,P,2023-12-20,2024-01-17
R,Virginia Foxx,House,CRT,P,2023-12-08,2024-01-04
R,Virginia Foxx,House,FLNG,P,2023-12-04,2024-01-04
R,Virginia Foxx,House,MO,P,2024-01-11,2024-02-05
R,Virginia Foxx,House,MO,S,2024-01-10,2024-02-05
R,Virginia Foxx,House,CRT,S,2024-01-16,2024-02-05
R,Virginia Foxx,House,ET,P,2024-01-16,2024-02-05
R,Virginia Foxx,House,ET,P,2024-01-17,2024-02-05
R,Virginia Foxx,House,ET,P,2024-01-18,2024-02-05
R,Virginia Foxx,House,SCHX,P,2024-01-16,2024-02-05
R,Virginia Foxx,House,SCHX,P,2024-01-17,2024-02-05
R,Virginia Foxx,House,ARLP,P,2024-02-23,2024-03-07
R,Virginia Foxx,House,ARLP,P,2024-02-26,2024-03-07
R,Virginia Foxx,House,ARLP,P,2024-02-15,2024-03-07
R,Virginia Foxx,House,ASC,P,2024-02-05,2024-03-07
R,Virginia Foxx,House,ASC,P,2024-02-15,2024-03-07
R,Virginia Foxx,House,ASC,P,2024-02-23,2024-03-07
R,Virginia Foxx,House,ASC,P,2024-02-27,2024-03-07
R,Virginia Foxx,House,ET,P,2024-02-21,2024-03-07
R,Virginia Foxx,House,FLNG,P,2024-02-02,2024-03-07
R,Virginia Foxx,House,FLNG,P,2024-02-07,2024-03-07
R,Virginia Foxx,House,FLNG,P,2024-02-09,2024-03-07
R,Virginia Foxx,House,FLNG,P,2024-02-23,2024-03-07
R,Virginia Foxx,House,FLNG,P,2024-02-26,2024-03-07
R,Virginia Foxx,House,HTGC,P,2024-02-01,2024-03-07
R,Virginia Foxx,House,ASC,P,2024-03-04,2024-04-10
R,Virginia Foxx,House,ASC,P,2024-03-06,2024-04-10
R,Virginia Foxx,House,HTGC,P,2024-03-07,2024-04-10
R,Virginia Foxx,House,ASC,P,2024-04-09,2024-05-06
R,Virginia Foxx,House,ET,P,2024-04-30,2024-05-06
R,Virginia Foxx,House,HTGC,P,2024-04-16,2024-05-06
R,Virginia Foxx,House,ARLP,P,2024-05-15,2024-06-06
R,Virginia Foxx,House,ET,P,2024-05-01,2024-06-06
R,Virginia Foxx,House,ET,P,2024-05-02,2024-06-06
R,Virginia Foxx,House,ET,P,2024-05-20,2024-06-06
R,Virginia Foxx,House,HTGC,P,2024-05-21,2024-06-06
R,Virginia Foxx,House,ASC,P,2024-07-08,2024-08-06
R,Virginia Foxx,House,ASC,P,2024-07-09,2024-08-06
R,Virginia Foxx,House,ASC,P,2024-07-11,2024-08-06
R,Virginia Foxx,House,ARLP,P,2024-08-14,2024-09-04
R,Virginia Foxx,House,ET,P,2024-08-19,2024-09-04
R,Virginia Foxx,House,HTGC,P,2024-08-20,2024-09-04
R,Virginia Foxx,House,EFC,P,2024-09-30,2024-10-21
R,Virginia Foxx,House,HTGC,P,2024-10-23,2024-11-12
R,Virginia Foxx,House,ARLP,P,2024-11-14,2024-12-11
R,Virginia Foxx,House,ET,P,2024-11-19,2024-12-11
R,Virginia Foxx,House,HTGC,P,2024-11-20,2024-12-11
R,C. Scott Franklin,House,ACN,P,2024-08-02,2024-08-20
R,C. Scott Franklin,House,ACN,P,2024-08-07,2024-08-20
R,C. Scott Franklin,House,APD,P,2024-08-07,2024-08-20
R,C. Scott Franklin,House,APD,P,2024-08-02,2024-08-20
R,C. Scott Franklin,House,AMGN,P,2024-08-07,2024-08-20
R,C. Scott Franklin,House,AMGN,P,2024-08-02,2024-08-20
R,C. Scott Franklin,House,CB,P,2024-08-07,2024-08-20
R,C. Scott Franklin,House,CB,P,2024-08-02,2024-08-20
R,C. Scott Franklin,House,CSCO,S,2024-08-01,2024-08-20
R,C. Scott Franklin,House,CSCO,S,2024-08-06,2024-08-20
R,C. Scott Franklin,House,DFS,S,2024-08-01,2024-08-20
R,C. Scott Franklin,House,DFS,S,2024-08-06,2024-08-20
R,C. Scott Franklin,House,GD,P,2024-08-02,2024-08-20
R,C. Scott Franklin,House,GD,P,2024-08-07,2024-08-20
R,C. Scott Franklin,House,JNJ,P,2024-08-07,2024-08-20
R,C. Scott Franklin,House,JNJ,P,2024-08-02,2024-08-20
R,C. Scott Franklin,House,KVUE,S,2024-08-06,2024-08-20
R,C. Scott Franklin,House,KVUE,S,2024-08-01,2024-08-20
R,C. Scott Franklin,House,MCD,P,2024-08-07,2024-08-20
R,C. Scott Franklin,House,MCD,P,2024-08-02,2024-08-20
R,C. Scott Franklin,House,MRK,P,2024-08-02,2024-08-20
R,C. Scott Franklin,House,NEE,S,2024-08-06,2024-08-20
R,C. Scott Franklin,House,NEE,S,2024-08-01,2024-08-20
R,C. Scott Franklin,House,PFE,P,2024-08-02,2024-08-20
R,C. Scott Franklin,House,PFE,S,2024-08-01,2024-08-20
R,C. Scott Franklin,House,PG,S,2024-08-06,2024-08-20
R,C. Scott Franklin,House,SBUX,P,2024-08-02,2024-08-20
R,C. Scott Franklin,House,SBUX,S,2024-08-14,2024-08-20
R,C. Scott Franklin,House,SBUX,P,2024-08-07,2024-08-20
R,C. Scott Franklin,House,HSY,P,2024-08-07,2024-08-20
R,C. Scott Franklin,House,HSY,P,2024-08-02,2024-08-20
R,C. Scott Franklin,House,UPS,P,2024-08-02,2024-08-20
R,C. Scott Franklin,House,UPS,P,2024-08-07,2024-08-20
R,C. Scott Franklin,House,ADP,P,2024-09-24,2024-10-15
R,C. Scott Franklin,House,ITW,P,2024-09-25,2024-10-15
R,Lance Gooden,House,MRO,S,2024-07-23,2024-09-06
R,Lance Gooden,House,SOHO,S,2024-07-23,2024-09-06
R,Lance Gooden,House,WAL,S,2024-11-15,2024-12-12
D,Josh Gottheimer,House,ALNY,S,2023-12-11,2024-01-07
D,Josh Gottheimer,House,BNTX,P,2023-12-06,2024-01-07
D,Josh Gottheimer,House,BNTX,P,2023-12-05,2024-01-07
D,Josh Gottheimer,House,BNTX,P,2023-12-07,2024-01-07
D,Josh Gottheimer,House,GTLS,P,2023-12-04,2024-01-07
D,Josh Gottheimer,House,DHI,S,2023-12-11,2024-01-07
D,Josh Gottheimer,House,DBSDY,P,2023-12-11,2024-01-07
D,Josh Gottheimer,House,EW,P,2023-12-11,2024-01-07
D,Josh Gottheimer,House,XNGSY,S,2023-12-11,2024-01-07
D,Josh Gottheimer,House,FANUY,S,2023-12-06,2024-01-07
D,Josh Gottheimer,House,HSHCY,S,2023-12-11,2024-01-07
D,Josh Gottheimer,House,PPRUY,P,2023-12-20,2024-01-07
D,Josh Gottheimer,House,LZAGY,S,2023-12-21,2024-01-07
D,Josh Gottheimer,House,NOC,P,2023-12-29,2024-01-07
D,Josh Gottheimer,House,ON,S,2023-12-11,2024-01-07
D,Josh Gottheimer,House,CRM,S,2023-12-11,2024-01-07
D,Josh Gottheimer,House,SBGSY,P,2023-12-01,2024-01-07
D,Josh Gottheimer,House,SSDOY,S,2023-12-11,2024-01-07
D,Josh Gottheimer,House,SHLS,S,2023-12-11,2024-01-07
D,Josh Gottheimer,House,SONY,P,2023-12-06,2024-01-07
D,Josh Gottheimer,House,COCO,P,2023-12-01,2024-01-07
D,Josh Gottheimer,House,UMBF,P,2023-12-20,2024-01-07
D,Josh Gottheimer,House,AMD,P,2024-01-24,2024-02-15
D,Josh Gottheimer,House,AGIO,P,2024-01-24,2024-02-15
D,Josh Gottheimer,House,APD,P,2024-01-18,2024-02-15
