ticker,client,pac_id,pac_name
ICE,Intercontinental Exchange,C00443168,INTERCONTINENTAL EXCHANGE INC PAC
MNST,Monster Beverage,,
MSFT,Microsoft,C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC
GS,Goldman Sachs,C00350744,"THE GOLDMAN SACHS GROUP, INC. POLITICAL ACTION COMMITTEE"
AAPL,Apple,C00064337,APPLEPAC FKA:  APPLEGATE FOR CONGRESS COMMITTEE
PYPL,PayPal,C00581686,"PAYPAL HOLDINGS, INC PAC (PAYPAL PAC)"
NFLX,Netflix,,
V,Visa,C00365122,"VISA, INC. POLITICAL ACTION COMMITTEE"
NVDA,NVIDIA,,
MDLZ,Mondelez International,C00529073,"MONDELEZ INTERNATIONAL, INC. PAC"
BSX,Boston Scientific,C00357863,BOSTON SCIENTIFIC CORPORATION POLITICAL ACTION COMMITTEE (BSC PAC)
STX,Seagate Technology  PLC,,
CDLX,Cardlytics,,
DDOG,Datadog,,
AMZN,Amazon com,C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC)
CHTR,Charter mmunications,,
MDB,MongoDB,,
WTT,WTT,,
RUM,Rumble,,
FWONK,Liberty Media  - Ser,,
TSLA,Tesla,,
CVX,Chevron,C00035006,CHEVRON EMPLOYEES POLITICAL ACTION COMMITTEE - CHEVRON CORPORATION
UNH,UnitedHealth  orporated,,
LBRDK,Liberty Broadband,,
INTC,Intel,C00125641,INTEL CORPORATION POLITICAL ACTION COMMITTEE (IPAC)
DIS,Walt Disney mpany (The),,
XOM,Exxon Mobil,C00121368,EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC)
CMG,Chipotle Mexican Grill,,
CLF,Cleveland-Cliffs,C00290973,CLEVELAND-CLIFFS INC. POLITICAL ACTION COMMITTEE
QCOM,QUALCOMM orporated,,
VZ,Verizon mmunications,,
X,X,,
GOOGL,Alphabet,,
FDX,FedEx,C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE
MDT,Medtronic,C00311878,MEDTRONIC INC. PAC
