의원,정당,섹터,종목,관할위원회,거래수,순매수K,기업로비M,PAC후원,score
Daniel S Sullivan,R,소재,RPM,Senate Committee on Environment and Public,11,-503,0.0,예,17
Josh Gottheimer,D,금융,V,House Committee on Financial Services,8,64,18.4,예,16
Josh Gottheimer,D,금융,GS,House Committee on Financial Services,5,24,5.5,예,13
Blake Moore,D,헬스케어,HQY,House Committee on Ways and Means,6,16,0.0,예,12
Blake Moore,D,헬스케어,JNJ,House Committee on Ways and Means,6,32,0.0,예,12
Josh Gottheimer,D,금융,COF,House Committee on Financial Services,5,40,0.0,예,11
Bruce Westerman,R,산업재,DE,House Committee on Transportation and Infr,3,8,0.0,예,9
Byron Donalds,R,금융,HOOD,House Committee on Financial Services,3,8,0.0,예,9
Josh Gottheimer,D,금융,SPGI,House Committee on Financial Services,3,8,0.0,예,9
Julie Johnson,D,산업재,RTX,House Committee on Homeland Security,3,-8,0.0,예,9
Zoe Lofgren,D,기술/반도체,ACN,House Committee on the Judiciary,3,8,0.0,예,9
Zoe Lofgren,D,기술/반도체,CSCO,House Committee on the Judiciary,3,8,0.0,예,9
Bruce Westerman,R,에너지,COP,House Committee on Natural Resources,2,0,0.0,예,8
Bruce Westerman,R,소재,FCX,House Committee on Natural Resources,2,0,0.0,예,8
Bruce Westerman,R,산업재,UNP,House Committee on Transportation and Infr,2,0,0.0,예,8
Bruce Westerman,R,에너지,XOM,House Committee on Natural Resources,2,0,0.0,예,8
Jared Moskowitz,D,커뮤니케이션,DIS,House Committee on the Judiciary,2,0,0.0,예,8
John Curtis,R,산업재,DE,"Senate Committee on Commerce, Science, and",2,0,0.0,예,8
John James,R,에너지,COP,House Committee on Energy and Commerce,2,0,0.0,예,8
John James,R,헬스케어,JNJ,House Committee on Energy and Commerce,2,0,0.0,예,8
Julie Johnson,D,산업재,DE,House Committee on Homeland Security,2,-16,0.0,예,8
Julie Johnson,D,산업재,LHX,House Committee on Homeland Security,2,-16,0.0,예,8
Julie Johnson,D,산업재,UNP,House Committee on Homeland Security,2,0,0.0,예,8
Adam Smith,D,산업재,DE,House Committee on Armed Services,1,-8,0.0,예,7
Adam Smith,D,산업재,UNP,House Committee on Armed Services,1,-8,0.0,예,7
"Angus S King, Jr.",D,산업재,HON,Senate Committee on Armed Services,1,8,0.0,예,7
August Lee Pfluger,R,에너지,EPD,House Committee on Energy and Commerce,1,0,0.0,예,7
Deborah K. Ross,D,커뮤니케이션,DIS,House Committee on the Judiciary,1,0,0.0,예,7
Debra S Fischer,R,기술/반도체,CSCO,"Senate Committee on Commerce, Science, and",1,-8,0.0,예,7
Greg Stanton,D,산업재,UNP,House Committee on Transportation and Infr,1,8,0.0,예,7
John W Hickenlooper,D,기술/반도체,INTU,"Senate Committee on Commerce, Science, and",1,175,0.0,예,7
Julie Johnson,D,산업재,DAL,House Committee on Homeland Security,1,-8,0.0,예,7
Julie Johnson,D,산업재,RSG,House Committee on Homeland Security,1,-8,0.0,예,7
Julie Johnson,D,산업재,WM,House Committee on Homeland Security,1,-8,0.0,예,7
Mike Kelly,R,소재,CLF,Senate Committee on Environment and Public,1,0,0.0,예,7
Mike Kelly,R,헬스케어,EW,House Committee on Ways and Means,1,-8,0.0,예,7
Richard W. Allen,R,커뮤니케이션,VZ,House Committee on Energy and Commerce,1,8,0.0,예,7
Rick Larsen,D,산업재,FDX,House Committee on Transportation and Infr,1,8,0.0,예,7
Rick Larsen,D,산업재,GD,House Committee on Transportation and Infr,1,-8,0.0,예,7
Robert J. Wittman,R,산업재,GE,House Committee on Armed Services,1,8,0.0,예,7
Zoe Lofgren,D,기술/반도체,AMAT,House Committee on the Judiciary,1,8,0.0,예,7
