Date,GOP,NANC,SPY
2023-02,,,
2023-03,-0.58,4.32,3.71
2023-04,0.31,0.56,1.6
2023-05,-2.31,3.62,0.46
2023-06,6.77,5.94,6.48
2023-07,3.39,3.74,3.27
2023-08,-2.36,-1.39,-1.63
2023-09,-3.88,-5.33,-4.74
2023-10,-1.97,-1.65,-2.17
2023-11,8.19,10.75,9.13
2023-12,6.27,4.8,4.57
2024-01,0.53,2.53,1.59
2024-02,4.79,6.08,5.22
2024-03,4.2,3.89,3.27
2024-04,-4.83,-4.56,-4.03
2024-05,3.71,5.84,5.06
2024-06,0.52,4.63,3.53
2024-07,2.67,-1.26,1.21
2024-08,1.08,2.06,2.34
2024-09,0.79,1.96,2.1
2024-10,-0.26,0.13,-0.89
2024-11,6.96,6.68,5.96
2024-12,-5.83,-3.24,-2.41
2025-01,3.83,3.68,2.69
2025-02,-2.03,-2.72,-1.27
2025-03,-4.15,-7.53,-5.57
2025-04,-0.82,1.14,-0.87
2025-05,5.7,7.89,6.28
2025-06,4.88,6.75,5.14
2025-07,2.03,1.01,2.3
2025-08,2.36,2.74,2.05
2025-09,3.7,2.99,3.56
2025-10,1.36,3.3,2.38
2025-11,-0.69,-0.77,0.19
2025-12,0.2,-0.39,0.08
2026-01,4.71,0.38,1.47
2026-02,1.45,-2.38,-0.86
2026-03,-2.89,-5.64,-4.94
2026-04,13.08,11.49,10.51
2026-05,3.32,3.97,3.75
