ticker,year,sector,lobby,contracts,netbuy,members,cmt_trades,reg,fwd_exc
ICE,2020,Financial Services,1.38185,0.0,-29.6,3,0,218,-8.8
ICE,2021,Financial Services,1.166084,0.0,0.0,4,0,130,-5.7
ICE,2022,Financial Services,1.363146,0.0,0.03,3,0,159,0.9
ICE,2023,Financial Services,1.34658,0.0,0.07,5,0,152,-7.4
ICE,2024,Financial Services,1.761723,0.0,0.01,4,3,202,-7.8
ICE,2025,Financial Services,1.82233,0.0,0.03,5,2,102,-14.9
MNST,2020,Consumer Defensive,0.0,0.0,0.0,2,0,0,-24.9
MNST,2021,Consumer Defensive,0.0,0.0,0.0,0,0,0,23.9
MNST,2022,Consumer Defensive,0.0,0.0,0.02,3,0,0,-12.7
MNST,2023,Consumer Defensive,0.0,0.0,-14.59,3,0,0,-33.7
MNST,2024,Consumer Defensive,0.0,0.0,-0.02,3,0,0,28.2
MNST,2025,Consumer Defensive,0.0,0.0,-0.01,2,0,0,3.6
MSFT,2020,Technology,13.554,1912.46433356,-0.16,26,4,496,23.7
MSFT,2021,Technology,14.62,2062.02106448,-0.29,17,6,477,-9.8
MSFT,2022,Technology,23.27,2436.8739709899996,-2.89,8,6,398,32.0
MSFT,2023,Technology,12.762,2361.57006232,0.22,16,12,449,-12.0
MSFT,2024,Technology,13.439,2519.42323241,-0.0,18,7,475,-2.1
MSFT,2025,Technology,12.9425,1877.41359846,0.52,25,14,318,-22.7
GS,2020,Financial Services,4.832,34.4259956,-0.03,3,0,218,18.9
GS,2021,Financial Services,4.09,34.4259956,0.0,2,0,130,10.3
GS,2022,Financial Services,3.8,34.4259956,0.01,1,0,159,-10.3
GS,2023,Financial Services,6.43,34.4259956,0.03,3,0,152,27.1
GS,2024,Financial Services,4.18,34.4259956,-0.38,4,2,202,38.9
GS,2025,Financial Services,5.48,34.4259956,-3.14,12,5,102,4.3
AAPL,2020,Technology,10.27,0.0,-0.15,14,2,496,5.9
AAPL,2021,Technology,8.84,0.0,-0.46,11,5,477,-8.2
AAPL,2022,Technology,14.68,0.0,-0.36,12,5,398,22.8
AAPL,2023,Technology,13.94,0.0,-0.05,14,10,449,5.8
AAPL,2024,Technology,11.17,0.0,-0.42,17,6,475,-8.7
AAPL,2025,Technology,21.79,0.0,0.04,21,7,318,4.2
PYPL,2020,Financial Services,1.396903,0.0,0.04,6,0,218,-48.2
PYPL,2021,Financial Services,1.3875,0.0,-0.39,5,1,130,-44.1
PYPL,2022,Financial Services,1.989245,0.0,0.81,7,0,159,-40.0
PYPL,2023,Financial Services,2.367906,0.0,0.67,7,2,152,14.1
PYPL,2024,Financial Services,2.443,0.0,-0.15,2,2,202,-49.2
PYPL,2025,Financial Services,3.049,0.0,-0.09,12,4,102,-33.7
NFLX,2020,Communication Services,0.93,0.0,0.04,3,0,124,-17.3
NFLX,2021,Communication Services,0.97,0.0,0.03,3,0,143,-32.9
NFLX,2022,Communication Services,1.89,0.0,-0.18,4,0,95,38.9
NFLX,2023,Communication Services,2.01,0.0,3.03,2,0,110,58.2
NFLX,2024,Communication Services,2.48,0.0,0.01,4,0,129,-12.5
NFLX,2025,Communication Services,3.9,0.0,0.04,12,2,82,-15.1
V,2020,Financial Services,4.52,0.0,0.05,12,1,218,-29.0
V,2021,Financial Services,6.77,0.0,0.06,10,0,130,14.8
V,2022,Financial Services,18.15,0.0,3.06,5,0,159,0.1
