ticker,pct,valUSD,name
JPM,4.306764222326883,1954355.63,JPMorgan Chase &amp; Co
NVDA,3.4736437926255332,1576296.02,NVIDIA Corp
FIX,3.3791170305118405,1533400.96,Comfort Systems USA Inc
SPG,2.4689933944751363,1120398.26,Simon Property Group Inc
T,2.4126429621125127,1094827.14,AT&amp;T Inc
ACN,2.3567014877164496,1069441.6,Accenture PLC
ANET,2.2983470335045455,1042961.08,Arista Networks Inc
FIS,2.2875379205382007,1038056.04,Fidelity National Information
ALL,2.2567844048586942,1024100.48,Allstate Corp/The
CVX,2.1717024606520887,985491.36,Chevron Corp
UTHR,1.9407513492115664,880688.64,United Therapeutics Corp
TSN,1.9137491050446982,868435.36,Tyson Foods Inc
INTC,1.8950821946410228,859964.55,Intel Corp
COP,1.7928892666492848,813590.68,ConocoPhillips
DOW,1.674134003783581,759701.03,Dow Inc
NFG,1.5330881738083504,695696.2,National Fuel Gas Co
MSFT,1.2938865480471018,587149.5,Microsoft Corp
TXN,1.2772353830425618,579593.41,Texas Instruments Inc
PYPL,1.2110705765114436,549568.65,PayPal Holdings Inc
SHEL,1.1211870893897733,508780.65,Shell PLC
JNJ,1.1151153703655081,506025.38,Johnson &amp; Johnson
ASML,1.0721806897251562,486542.16,ASML Holding NV
ELV,1.0121048569918683,459280.5,Elevance Health Inc
COST,0.9510248757693986,431563.17,Costco Wholesale Corp
RTX,0.9417491458285483,427353.96,RTX Corp
BBWI,0.9399720584086048,426547.54,Bath &amp; Body Works Inc
WMB,0.9204709028416543,417698.16,Williams Cos Inc/The
FDX,0.8784830751460797,398644.61,FedEx Corp
UNH,0.8706204736977183,395076.66,UnitedHealth Group Inc
HD,0.863207906713905,391712.93,Home Depot Inc/The
AER,0.8441993826450926,383087.1,AerCap Holdings NV
AVGO,0.8143745395933892,369552.96,Broadcom Inc
AMZN,0.805451375581356,365503.74,Amazon.com Inc
CHTR,0.799919468732371,362993.43,Charter Communications Inc
SAP,0.7916049156223989,359220.39,SAP SE
ORLY,0.768256562579429,348625.2,O'Reilly Automotive Inc
EMR,0.7310924908407497,331760.61,Emerson Electric Co
COF,0.7309042749773816,331675.2,Capital One Financial Corp
PM,0.730129352739313,331323.55,Philip Morris International In
V,0.7152535122148888,324573.08,Visa Inc
LIN,0.7141020921398403,324050.58,Linde PLC
SCHW,0.7123944645491131,323275.68,Charles Schwab Corp/The
WFC,0.7062890513373887,320505.12,Wells Fargo &amp; Co
FGXXX,0.6945123488465419,315161.0,First American Government Obli
TSLA,0.6852476593163631,310956.8,Tesla Inc
META,0.6825547466926122,309734.79,Meta Platforms Inc
