ticker,pct,valUSD,name
NVDA,10.616,23906888.81,NVIDIA Corp
MSFT,8.087,18210677.51,Microsoft Corp
AMZN,5.174,11650705.95,Amazon.com Inc
GOOG,3.797,8551794.51,Alphabet Inc
CRM,3.687,8303955.88,Salesforce Inc
PM,3.575,8050874.52,Philip Morris International In
NFLX,3.381,7612954.05,Netflix Inc
AXP,3.116,7016922.04,American Express Co
META,3.005,6768285.3,Meta Platforms Inc
AAPL,2.946,6633556.44,Apple Inc
COST,2.903,6536573.82,Costco Wholesale Corp
CRWD,2.775,6248215.08,Crowdstrike Holdings Inc
AORT,2.48,5583911.7,Artivion Inc
VMC,2.122,4779265.68,Vulcan Materials Co
LLY,2.089,4705243.08,Eli Lilly &amp; Co
AMAT,1.98,4457937.57,Applied Materials Inc
SSNC,1.885,4245984.0,SS&amp;C Technologies Holdings Inc
DIS,1.629,3669207.88,Walt Disney Co/The
DHI,1.576,3548265.16,DR Horton Inc
ABT,1.244,2802078.02,Abbott Laboratories
APG,1.116,2513497.8,API Group Corp
IBM,1.079,2429576.76,IBM
JNJ,1.021,2299956.75,Johnson &amp; Johnson
NOW,0.932,2099339.36,ServiceNow Inc
VST,0.817,1840032.14,Vistra Corp
KO,0.804,1809714.25,Coca-Cola Co/The
ACN,0.669,1506704.49,Accenture PLC
TEM,0.666,1498717.98,Tempus AI Inc
PANW,0.665,1497350.88,Palo Alto Networks Inc
CVS,0.656,1478310.38,CVS Health Corp
URI,0.6,1350846.2,United Rentals Inc
KKR,0.574,1293716.75,KKR &amp; Co Inc
PINS,0.563,1267220.68,Pinterest Inc
MS,0.541,1217734.7,Morgan Stanley
RTX,0.508,1144504.76,RTX Corp
ARMK,0.485,1091760.25,Aramark
NOC,0.482,1084456.62,Northrop Grumman Corp
WFC,0.438,985716.36,Wells Fargo &amp; Co
PGR,0.436,982044.8,Progressive Corp/The
FGXXX,0.403,908415.8,First American Government Obli
MU,0.38,855724.75,Micron Technology Inc
COF,0.361,812317.68,Capital One Financial Corp
HD,0.341,767744.16,Home Depot Inc/The
WMT,0.321,723278.66,Walmart Inc
CSCO,0.313,704276.38,Cisco Systems Inc
LRCX,0.305,686636.36,Lam Research Corp
HCA,0.304,685365.9,HCA Healthcare Inc
V,0.283,636604.65,Visa Inc
PG,0.274,616568.4,Procter &amp; Gamble Co/The
SBUX,0.265,597335.97,Starbucks Corp
TCMD,0.262,590472.48,Tactile Systems Technology Inc
ABBV,0.261,586930.44,AbbVie Inc
TMUS,0.259,583737.0,T-Mobile US Inc
C,0.254,572772.48,Citigroup Inc
IDXX,0.252,568520.4,IDEXX Laboratories Inc
BALL,0.249,560451.28,Ball Corp
MAR,0.245,550791.36,Marriott International Inc/MD
FWONK,0.24,539951.5,Liberty Media Corp-Liberty For
INTU,0.237,533225.51,Intuit Inc
STX,0.236,532144.71,Seagate Technology Holdings PL
JPM,0.229,514880.16,JPMorgan Chase &amp; Co
BAC,0.222,498942.08,Bank of America Corp
AMGN,0.22,495876.96,Amgen Inc
DELL,0.218,491748.6,Dell Technologies Inc
BLK,0.213,479507.25,Blackrock Inc
SCHW,0.209,471163.36,Charles Schwab Corp/The
OSK,0.201,451548.58,Oshkosh Corp
ST,0.197,444363.38,Sensata Technologies Holding P
MO,0.192,432396.25,Altria Group Inc
ELAN,0.19,428142.96,Elanco Animal Health Inc
SYY,0.189,426037.5,Sysco Corp
INTC,0.187,421187.2,Intel Corp
PWR,0.186,419668.8,Quanta Services Inc
DPZ,0.184,414552.0,Domino's Pizza Inc
F,0.182,409685.15,Ford Motor Co
BK,0.18,404710.62,Bank of New York Mellon Corp/T
ALL,0.18,405840.96,Allstate Corp/The
AMCR,0.179,403349.1,Amcor PLC
VRT,0.177,399098.28,Vertiv Holdings Co
MCHP,0.175,394634.96,Microchip Technology Inc
MMC,0.174,392458.8,Marsh &amp; McLennan Cos Inc
TT,0.173,390169.72,Trane Technologies PLC
MA,0.172,387176.66,Mastercard Inc
TJX,0.171,385659.27,TJX Cos Inc/The
DD,0.171,384652.72,DuPont de Nemours Inc
CL,0.171,384779.7,Colgate-Palmolive Co
GLW,0.167,375965.91,Corning Inc
MDT,0.164,368293.25,Medtronic PLC
CI,0.163,367604.96,Cigna Group/The
BX,0.162,365423.94,Blackstone Inc
ANET,0.161,363405.12,Arista Networks Inc
