ticker,member_last,member_first,state,party,amount
AAL,Jeffries,Hakeem,NY,Democrat,10000
AAL,Larsen,Rick,WA,Democrat,10000
AAL,Gimenez,Carlos,FL,Republican,8500
AAL,Clark,Katherine,MA,Democrat,8500
AAL,Quigley,Mike,IL,Democrat,7500
AAL,Aguilar,Pete,CA,Democrat,6000
AAL,Stanton,Greg,AZ,Democrat,6000
AAL,Ellzey,Jake,TX,Republican,6000
AAL,Veasey,Marc,TX,Democrat,6000
AAL,Wilson,Frederica,FL,Democrat,5500
AAL,Menendez,Robert,NJ,Democrat,5500
AAL,Westerman,Bruce,AR,Republican,5500
AAL,Scalise,Steve,LA,Republican,5000
AAL,Baldwin,Tammy,WI,Democrat,5000
AAL,Budd,Ted,NC,Republican,5000
AAL,Johnson,Henry,GA,Democrat,5000
AAL,Johnson,Ron,WI,Republican,5000
AAL,Johnson,Mike,LA,Republican,5000
AAL,Johnson,Dusty,SD,Republican,5000
AAL,Johnson,Julie,TX,Democrat,5000
AAL,Cantwell,Maria,WA,Democrat,5000
AAL,McCormick,Rich,GA,Republican,5000
AAL,McCormick,Dave,PA,Republican,5000
AAL,Smith,Jason,MO,Republican,5000
AAL,Van Duyne,Beth,TX,Republican,5000
AAL,Fischer,Deb,NE,Republican,5000
AAL,Schneider,Bradley,IL,Democrat,4500
AAL,Brownley,Julia,CA,Democrat,4500
AAL,Neal,Richard,MA,Democrat,4500
AAL,Meeks,Gregory,NY,Democrat,3500
AAL,Newhouse,Dan,WA,Republican,3500
AAL,Estes,Ron,KS,Republican,3500
AAL,Burlison,Eric,MO,Republican,3500
AAL,Carbajal,Salud,CA,Democrat,3000
AAL,Horsford,Steven,NV,Democrat,3000
AAL,Fong,Vince,CA,Republican,2500
AAL,Blunt Rochester,Lisa,DE,Democrat,2500
AAL,Schweikert,David,AZ,Republican,2500
AAL,Stauber,Pete,MN,Republican,2500
ABBV,Schneider,Bradley,IL,Democrat,10000
ABBV,Aguilar,Pete,CA,Democrat,10000
ABBV,Blunt Rochester,Lisa,DE,Democrat,10000
ABBV,Smith,Jason,MO,Republican,10000
ABBV,Watson Coleman,Bonnie,NJ,Democrat,10000
ABBV,Plaskett,Stacey,VI,Democrat,10000
ABBV,Feenstra,Randy,IA,Republican,10000
ABBV,Veasey,Marc,TX,Democrat,8500
ABBV,Heinrich,Martin,NM,Democrat,7500
ABBV,Valadao,David,CA,Republican,7500
ABBV,Meeks,Gregory,NY,Democrat,7500
ABBV,Ivey,Glenn,MD,Democrat,7500
ABBV,Peters,Scott,CA,Democrat,7500
ABBV,Kelly,Robin,IL,Democrat,7500
ABBV,Miller-Meeks,Mariannette,IA,Republican,7500
ABBV,Cassidy,Bill,LA,Republican,7500
ABBV,Fitzpatrick,Brian,PA,Republican,7500
ABBV,Thompson,Bennie,MS,Democrat,7500
ABBV,Thompson,Mike,CA,Democrat,7500
ABBV,Thompson,Glenn,PA,Republican,7500
