ticker,pac,recipient,total_2024
ICE,C00443168,ROUNDS FOR SENATE,10000
ICE,C00443168,MORPAC,10000
ICE,C00443168,DAVID SCOTT FOR CONGRESS,7500
ICE,C00443168,SANFORD BISHOP FOR CONGRESS,7500
ICE,C00443168,CLEAVER FOR CONGRESS,7500
ICE,C00443168,HUIZENGA FOR CONGRESS,6500
ICE,C00443168,DREW FERGUSON FOR CONGRESS INC.,6500
ICE,C00443168,AUSTIN SCOTT FOR CONGRESS INC,5500
MSFT,C00227546,NRCC,30000
MSFT,C00227546,NRSC,30000
MSFT,C00227546,DCCC,30000
MSFT,C00227546,DSCC,30000
MSFT,C00227546,NEWSOM FOR CALIFORNIA GOVERNOR 2022 OFFICEHOLDER ACCOUNT,20000
MSFT,C00227546,DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,15000
MSFT,C00227546,PEOPLE'S VOICE PAC,10000
MSFT,C00227546,"STEIL FOR WISCONSIN, INC.",10000
GS,C00350744,DSCC,15000
GS,C00350744,NRSC,15000
GS,C00350744,KEVIN MCCARTHY FOR CONGRESS,10000
GS,C00350744,"ANDY BARR FOR CONGRESS, INC.",10000
GS,C00350744,SINEMA FOR ARIZONA,10000
GS,C00350744,TREASURE STATE PAC,10000
GS,C00350744,MODERATE DEMOCRATS PAC (MOD SQUAD PAC),10000
GS,C00350744,FORWARD TOGETHER PAC,10000
V,C00365122,NRSC,30000
V,C00365122,DSCC,30000
V,C00365122,DCCC,30000
V,C00365122,NRCC,30000
V,C00365122,DSCC (BUILDING FUND),30000
V,C00365122,NRSC (BUILDING FUND),30000
V,C00365122,NEW DEMOCRAT COALITION ACTION FUND,10000
V,C00365122,CRAMER FOR SENATE,10000
MDLZ,C00529073,NATIONAL CONFECTIONERS ASSOCIATION PAC (CANDY PAC),5500
MDLZ,C00529073,HOOPS PAC,5000
MDLZ,C00529073,"FRIENDS OF TODD YOUNG, INC.",5000
MDLZ,C00529073,ACROSS THE AISLE PAC,5000
MDLZ,C00529073,BUILDING BRIDGES PAC,5000
MDLZ,C00529073,MIKIE SHERRILL FOR CONGRESS,5000
MDLZ,C00529073,HOOSIER PAC,5000
MDLZ,C00529073,KAPTUR FOR CONGRESS,5000
BSX,C00357863,OORAH! POLITICAL ACTION COMMITTEE,10000
BSX,C00357863,ANGIE CRAIG FOR CONGRESS,10000
BSX,C00357863,COMMITTEE FOR HISPANIC CAUSES/BUILDING OUR LEADERSHIP DIVERSITY PAC (CHC BOLD PAC),10000
BSX,C00357863,PETE AGUILAR FOR CONGRESS,10000
BSX,C00357863,JASON SMITH FOR CONGRESS,10000
BSX,C00357863,THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE,10000
BSX,C00357863,DEFEND THE DREAM,10000
BSX,C00357863,THE MADISON PAC,10000
AMZN,C00360354,DSCC,30000
AMZN,C00360354,DCCC,30000
AMZN,C00360354,NRSC,30000
AMZN,C00360354,NRCC,30000
AMZN,C00360354,GUY FOR CONGRESS,12500
AMZN,C00360354,HEARTLAND VALUES PAC,10000
AMZN,C00360354,SCALISE FOR CONGRESS,10000
AMZN,C00360354,CHC BOLD PAC,10000
CVX,C00035006,TEXANS FOR GREG ABBOTT,30000
CVX,C00035006,TEXANS FOR DAN PATRICK,25000
CVX,C00035006,TEXANS FOR DADE,20000
CVX,C00035006,CHRISTI CRADDICK CAMPAIGN,20000
CVX,C00035006,FEENSTRA FOR CONGRESS,10000
CVX,C00035006,VICENTE GONZALEZ FOR CONGRESS,10000
CVX,C00035006,DAN NEWHOUSE FOR CONGRESS,10000
CVX,C00035006,FRIENDS OF DAVE JOYCE,10000
INTC,C00125641,NRCC,30000
INTC,C00125641,DCCC,30000
INTC,C00125641,NRSC,30000
INTC,C00125641,DSCC,30000
INTC,C00125641,DEMOCRACY ENGINE LLC,25000
INTC,C00125641,SCALISE LEADERSHIP FUND 2024,15500
INTC,C00125641,LOFGREN FOR CONGRESS,10000
INTC,C00125641,KATHERINE CLARK FOR CONGRESS,10000
XOM,C00121368,EXXONMOBIL CORP PAC OF TEXAS,115500
XOM,C00121368,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,30000
XOM,C00121368,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,30000
XOM,C00121368,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,15000
XOM,C00121368,WICKER FOR SENATE,10000
XOM,C00121368,SYLVIA GARCIA FOR CONGRESS,10000
