ticker,client,year,lobby,contracts
ICE,Intercontinental Exchange,2020,0.0,0.0
ICE,Intercontinental Exchange,2021,0.0,0.0
ICE,Intercontinental Exchange,2022,0.0,0.0
ICE,Intercontinental Exchange,2023,0.0,0.0
ICE,Intercontinental Exchange,2024,0.0,0.0
ICE,Intercontinental Exchange,2025,0.0,0.0
MNST,Monster Beverage,2020,0.0,0.0
MNST,Monster Beverage,2021,0.0,0.0
MNST,Monster Beverage,2022,0.0,0.0
MNST,Monster Beverage,2023,0.0,0.0
MNST,Monster Beverage,2024,0.0,0.0
MNST,Monster Beverage,2025,0.0,0.0
MSFT,Microsoft,2020,0.0,0.0
MSFT,Microsoft,2021,0.0,0.0
MSFT,Microsoft,2022,0.0,0.0
MSFT,Microsoft,2023,0.0,0.0
MSFT,Microsoft,2024,0.0,0.0
MSFT,Microsoft,2025,0.0,0.0
GS,Goldman Sachs,2020,0.0,0.0
GS,Goldman Sachs,2021,0.0,0.0
GS,Goldman Sachs,2022,0.0,0.0
GS,Goldman Sachs,2023,0.0,0.0
GS,Goldman Sachs,2024,0.0,0.0
GS,Goldman Sachs,2025,0.0,0.0
AAPL,Apple,2020,0.0,0.0
AAPL,Apple,2021,0.0,0.0
AAPL,Apple,2022,0.0,0.0
AAPL,Apple,2023,0.0,0.0
AAPL,Apple,2024,0.0,0.0
AAPL,Apple,2025,0.0,0.0
PYPL,PayPal,2020,0.0,0.0
PYPL,PayPal,2021,0.0,0.0
PYPL,PayPal,2022,0.0,0.0
PYPL,PayPal,2023,0.0,0.0
PYPL,PayPal,2024,0.0,0.0
PYPL,PayPal,2025,0.0,0.0
NFLX,Netflix,2020,0.0,0.0
NFLX,Netflix,2021,0.0,0.0
NFLX,Netflix,2022,0.0,0.0
NFLX,Netflix,2023,0.0,0.0
NFLX,Netflix,2024,0.0,0.0
NFLX,Netflix,2025,0.0,0.0
V,Visa,2020,0.0,0.0
V,Visa,2021,0.0,0.0
V,Visa,2022,0.0,0.0
V,Visa,2023,0.0,0.0
V,Visa,2024,0.0,0.0
V,Visa,2025,0.0,0.0
NVDA,NVIDIA,2020,0.0,0.0
NVDA,NVIDIA,2021,0.0,0.0
NVDA,NVIDIA,2022,0.0,0.0
NVDA,NVIDIA,2023,0.0,0.0
NVDA,NVIDIA,2024,0.0,0.0
NVDA,NVIDIA,2025,0.0,0.0
MDLZ,Mondelez International,2020,0.0,0.0
MDLZ,Mondelez International,2021,0.0,0.0
MDLZ,Mondelez International,2022,0.0,0.0
MDLZ,Mondelez International,2023,0.0,0.0
MDLZ,Mondelez International,2024,0.0,0.0
MDLZ,Mondelez International,2025,0.0,0.0
BSX,Boston Scientific,2020,0.0,0.0
BSX,Boston Scientific,2021,0.0,0.0
BSX,Boston Scientific,2022,0.0,0.0
BSX,Boston Scientific,2023,0.0,0.0
BSX,Boston Scientific,2024,0.0,0.0
BSX,Boston Scientific,2025,0.0,0.0
STX,Seagate Technology  PLC,2020,0.0,0.0
STX,Seagate Technology  PLC,2021,0.0,0.0
STX,Seagate Technology  PLC,2022,0.0,0.0
STX,Seagate Technology  PLC,2023,0.0,0.0
STX,Seagate Technology  PLC,2024,0.0,0.0
STX,Seagate Technology  PLC,2025,0.0,0.0
CDLX,Cardlytics,2020,0.0,0.0
CDLX,Cardlytics,2021,0.0,0.0
CDLX,Cardlytics,2022,0.0,0.0
CDLX,Cardlytics,2023,0.0,0.0
CDLX,Cardlytics,2024,0.0,0.0
CDLX,Cardlytics,2025,0.0,0.0
DDOG,Datadog,2020,0.0,0.0
DDOG,Datadog,2021,0.0,0.0
DDOG,Datadog,2022,0.0,0.0
DDOG,Datadog,2023,0.0,0.0
DDOG,Datadog,2024,0.0,0.0
