theme,year,netbuy,reg,fwd_next,fwd_same,pol
기술/반도체,2020,-1.3,496,6.015327048637276,25.28717500090356,0.6417981189968085
기술/반도체,2021,-5.3,477,-9.550918852163658,6.015327048637276,-0.18574737333148095
기술/반도체,2022,-2.1,398,29.842598621012193,-9.550918852163658,0.08219064882053119
기술/반도체,2023,-2.1,449,-3.255830845927621,29.842598621012193,0.29555600930080284
기술/반도체,2024,0.5,475,6.886855995222563,-3.255830845927621,0.8905671905015579
기술/반도체,2025,4.9,318,15.809900676568244,6.886855995222563,1.0565986510932581
금융,2020,-31.3,218,6.069130539979772,-20.068013375625572,-6.13167555081981
금융,2021,-0.7,130,7.588888392574122,6.069130539979772,-0.7772036495686188
금융,2022,4.4,159,-14.1448438473176,7.588888392574122,0.29789370797923076
금융,2023,0.5,152,5.6697914113021275,-14.1448438473176,-0.4607467592068294
금융,2024,-0.3,202,-2.8167293077138167,5.6697914113021275,-0.4011763205383968
금융,2025,-2.4,102,-14.322416208819222,-2.8167293077138167,-1.2122694016036206
헬스케어,2020,-3.2,170,-2.690147228235129,-5.036438326053916,-1.0773935415892097
헬스케어,2021,0.5,193,16.096100055683983,-2.690147228235129,-0.28921774391876787
헬스케어,2022,-0.1,205,-24.109206071378473,16.096100055683983,-0.3512225951575793
헬스케어,2023,-1.6,168,-22.41201961414103,-24.109206071378473,-0.7865382360424156
헬스케어,2024,1.0,243,-3.215345366223943,-22.41201961414103,0.013471036600169073
헬스케어,2025,-3.0,193,-12.416605088912135,-3.215345366223943,-0.9437671258239717
에너지,2020,-1.6,519,24.5510927712973,-51.00296058698658,0.6819174802041601
에너지,2021,-0.2,484,82.5002560151326,24.5510927712973,0.7973100247935062
에너지,2022,-0.3,467,-26.806021792890455,82.5002560151326,0.7074868270551716
에너지,2023,0.5,417,-19.327250887233415,-26.806021792890455,0.6479163883867392
에너지,2024,-0.9,440,-9.842794677273448,-19.327250887233415,0.4823202295667408
에너지,2025,0.3,370,24.28402076725884,-9.842794677273448,0.41388274416019694
산업재,2020,-1.3,874,-7.646725378282726,-7.426692459689899,2.223211967262351
산업재,2021,-0.2,899,12.606633390333988,-7.646725378282726,2.533518350270226
산업재,2022,-0.9,985,-8.046472456373843,12.606633390333988,2.7624010425421925
산업재,2023,-1.0,807,-7.576730836693679,-8.046472456373843,1.9990126872092753
산업재,2024,0.0,764,1.6279204357982024,-7.576730836693679,2.006130511998544
산업재,2025,-0.5,743,1.401953064701833,1.6279204357982024,1.824767132537017
커뮤니케이션,2020,-4.5,124,-12.766753173418198,8.572727935808256,-1.5129590713238805
커뮤니케이션,2021,-0.3,143,-19.45416561558083,-12.766753173418198,-0.6480107571724366
커뮤니케이션,2022,-0.8,95,26.645070190884045,-19.45416561558083,-0.9423322686529314
커뮤니케이션,2023,2.4,110,9.820163049531505,26.645070190884045,-0.2811326016941442
커뮤니케이션,2024,-0.2,129,5.359377123647713,9.820163049531505,-0.6878802295299535
커뮤니케이션,2025,-3.1,82,-11.249650474373041,5.359377123647713,-1.4268519683690817
필수소비재,2020,-2.6,173,-11.523242119993093,-8.220907668652266,-0.952634172562083
필수소비재,2021,-0.1,153,17.365960615358844,-11.523242119993093,-0.568771590157072
필수소비재,2022,-0.1,162,-26.99401209438902,17.365960615358844,-0.5311188794840829
필수소비재,2023,-17.9,151,-12.684276163764906,-26.99401209438902,-3.9059900014562645
필수소비재,2024,-0.1,177,-16.202921544111337,-12.684276163764906,-0.4683643616957676
필수소비재,2025,-0.3,158,0.13744911168340757,-16.202921544111337,-0.5852562393841214
소재,2020,-0.5,545,-1.2907981676434366,2.1290014617515007,0.9964074977312563
소재,2021,-0.1,515,5.8784398345489315,-1.2907981676434366,0.9457041058009348
소재,2022,0.0,493,-13.719855099450973,5.8784398345489315,0.8723655572896498
소재,2023,0.3,441,-24.737224063747988,-13.719855099450973,0.7109207950248888
소재,2024,-0.1,476,-7.775736067934469,-24.737224063747988,0.7825423595513152
소재,2025,0.0,395,1.743385060567304,-7.775736067934469,0.4623693744059905
