party,member,chamber,ticker,type,transaction_date,filing_date,owner,amount,lag_days
R,John Boozman,Senate,SCHP,S,2026-05-13,2026-06-16,Joint,"$1,001 - $15,000",34
R,John Boozman,Senate,JMBS,S,2026-05-13,2026-06-16,Joint,"$1,001 - $15,000",34
R,John Boozman,Senate,CMBS,S,2026-05-13,2026-06-16,Joint,"$1,001 - $15,000",34
R,John Boozman,Senate,IEI,S,2026-05-13,2026-06-16,Joint,"$50,001 - $100,000",34
R,John Boozman,Senate,MBB,S,2026-05-13,2026-06-16,Joint,"$1,001 - $15,000",34
R,John Boozman,Senate,ECL,S,2026-05-15,2026-06-16,Joint,"$1,001 - $15,000",32
R,John Boozman,Senate,ACN,S,2026-05-15,2026-06-16,Joint,"$1,001 - $15,000",32
R,John Boozman,Senate,PLTR,P,2026-05-15,2026-06-16,Joint,"$1,001 - $15,000",32
R,John Boozman,Senate,GIGB,P,2026-05-13,2026-06-16,Joint,"$1,001 - $15,000",34
R,John Boozman,Senate,XFIV,P,2026-05-13,2026-06-16,Joint,"$50,001 - $100,000",34
R,John Boozman,Senate,ALB,P,2026-05-15,2026-06-16,Joint,"$1,001 - $15,000",32
D,Gary C Peters,Senate,KHC,P,2026-05-21,2026-06-11,Self,"$1,001 - $15,000",21
D,Sheldon Whitehouse,Senate,ORCL,S,2026-05-07,2026-06-02,Self,"$15,001 - $50,000",26
D,Sheldon Whitehouse,Senate,NVDA,S,2026-05-08,2026-06-02,Self,"$100,001 - $250,000",25
R,Bernie Moreno,Senate,ETOR,S,2026-05-06,2026-05-22,Self,"$100,001 - $250,000",16
R,John Boozman,Senate,SCHP,P,2025-09-16,2026-05-11,Joint,"$1,001 - $15,000",237
R,John Boozman,Senate,IEF,P,2025-09-16,2026-05-11,Joint,"$15,001 - $50,000",237
R,John Boozman,Senate,SHY,P,2025-09-16,2026-05-11,Joint,"$1,001 - $15,000",237
R,John Boozman,Senate,IEI,P,2025-09-16,2026-05-11,Joint,"$15,001 - $50,000",237
R,John Boozman,Senate,ETN,P,2025-09-12,2026-05-11,Joint,"$1,001 - $15,000",241
R,John Boozman,Senate,GOOGL,P,2025-09-17,2026-05-11,Joint,"$1,001 - $15,000",236
R,John Boozman,Senate,ADBE,P,2025-09-04,2026-05-11,Joint,"$1,001 - $15,000",249
D,Gary C Peters,Senate,CTVA,S,2026-04-23,2026-05-11,Self,"$15,001 - $50,000",18
D,Tina Smith,Senate,PODD,S,2026-05-07,2026-05-10,Spouse,"$100,001 - $250,000",3
D,Tina Smith,Senate,DXCM,S,2026-05-07,2026-05-10,Spouse,"$100,001 - $250,000",3
D,Tina Smith,Senate,PODD,S,2026-04-29,2026-05-10,Spouse,"$100,001 - $250,000",11
D,Tina Smith,Senate,DXCM,S,2026-04-29,2026-05-10,Spouse,"$100,001 - $250,000",11
R,John Boozman,Senate,TBLL,S,2026-04-02,2026-05-08,Joint,"$1,001 - $15,000",36
