ticker,client,lobby_3y,mc,intensity,vs_XLV,vs_SPY
PFE,Pfizer,72.3,147136856064,491.20935388589925,-54.7,-142.1
MRK,Merck & mpany,0.0,298601775104,0.0,4.8,-82.7
JNJ,Johnson & Johnson,22.3,552925724672,40.338349266044695,28.1,-59.4
ABBV,AbbVie .,11.5,376733237248,30.472490518384557,33.9,-53.5
LLY,Eli Lilly and mpany,0.0,950912876544,0.0,183.0,95.6
BMY,Bristol-Myers Squibb mpany,0.0,118889390080,0.0,-20.7,-108.2
AMGN,Amgen .,47.1,182362046464,258.5269298856381,28.0,-59.4
GILD,Gilead Sciences,40.7,168108556288,241.99839019677535,59.1,-28.4
REGN,Regeneron,6.2,67224879104,92.22775976150605,-27.4,-114.8
VRTX,Vertex  orpor,0.0,110572871680,0.0,35.1,-52.3
BIIB,Biogen .,16.3,28746424320,567.0270437307731,-45.7,-133.2
MRNA,Moderna,2.5,19172712448,132.74073800994609,-90.6,-178.1
ZTS,Zoetis .,3.5,33789786112,105.06133386678242,-59.1,-146.6
JAZZ,Jazz,13.4,14917732352,900.27087784555,36.6,-50.9
NBIX,Neurocrine Biosciences,13.5,15833103360,854.5387276496627,13.7,-73.7
INCY,Incyte,6.2,19505072128,315.81528945782117,5.4,-82.1
ALNY,Alnylam,5.1,39685943296,128.76095603641713,10.6,-76.9
SRPT,Sarepta,3.7,1738734848,2110.730111736968,-103.3,-190.8
BMRN,BioMarin ceutical .,0.0,10247941120,0.0,-63.0,-150.5
HALO,Halozyme,0.1,8209205760,17.05402496818401,7.2,-80.3
TEVA,Teva ceutical Industries,0.0,40044642304,0.0,240.7,153.3
VTRS,Viatris .,7.4,19273347072,384.4687677920316,53.8,-33.7
UTHR,United,11.5,24143699968,475.0456647159077,91.2,3.7
